item_id,file_name,status
ad_astra:aeronos_cap,ad_astra__aeronos_cap.png,OK
ad_astra:aeronos_door,ad_astra__aeronos_door.png,OK
ad_astra:aeronos_fence,ad_astra__aeronos_fence.png,OK
ad_astra:aeronos_fence_gate,ad_astra__aeronos_fence_gate.png,OK
ad_astra:aeronos_ladder,ad_astra__aeronos_ladder.png,OK
ad_astra:aeronos_mushroom,ad_astra__aeronos_mushroom.png,OK
ad_astra:aeronos_planks,ad_astra__aeronos_planks.png,OK
ad_astra:aeronos_slab,ad_astra__aeronos_slab.png,OK
ad_astra:aeronos_stairs,ad_astra__aeronos_stairs.png,OK
ad_astra:aeronos_stem,ad_astra__aeronos_stem.png,OK
ad_astra:aeronos_trapdoor,ad_astra__aeronos_trapdoor.png,OK
ad_astra:airlock,ad_astra__airlock.png,OK
ad_astra:black_flag,ad_astra__black_flag.png,OK
ad_astra:black_industrial_lamp,ad_astra__black_industrial_lamp.png,OK
ad_astra:blue_flag,ad_astra__blue_flag.png,OK
ad_astra:blue_industrial_lamp,ad_astra__blue_industrial_lamp.png,OK
ad_astra:brown_flag,ad_astra__brown_flag.png,OK
ad_astra:brown_industrial_lamp,ad_astra__brown_industrial_lamp.png,OK
ad_astra:cable_duct,ad_astra__cable_duct.png,OK
ad_astra:calorite_block,ad_astra__calorite_block.png,OK
ad_astra:calorite_engine,ad_astra__calorite_engine.png,OK
ad_astra:calorite_factory_block,ad_astra__calorite_factory_block.png,OK
ad_astra:calorite_ingot,ad_astra__calorite_ingot.png,OK
ad_astra:calorite_nugget,ad_astra__calorite_nugget.png,OK
ad_astra:calorite_panel,ad_astra__calorite_panel.png,OK
ad_astra:calorite_pillar,ad_astra__calorite_pillar.png,OK
ad_astra:calorite_plate,ad_astra__calorite_plate.png,OK
ad_astra:calorite_plateblock,ad_astra__calorite_plateblock.png,OK
ad_astra:calorite_plating,ad_astra__calorite_plating.png,OK
ad_astra:calorite_plating_button,ad_astra__calorite_plating_button.png,OK
ad_astra:calorite_plating_pressure_plate,ad_astra__calorite_plating_pressure_plate.png,OK
ad_astra:calorite_plating_slab,ad_astra__calorite_plating_slab.png,OK
ad_astra:calorite_plating_stairs,ad_astra__calorite_plating_stairs.png,OK
ad_astra:calorite_sliding_door,ad_astra__calorite_sliding_door.png,OK
ad_astra:calorite_tank,ad_astra__calorite_tank.png,OK
ad_astra:cheese,ad_astra__cheese.png,OK
ad_astra:cheese_block,ad_astra__cheese_block.png,OK
ad_astra:chiseled_glacio_stone_bricks,ad_astra__chiseled_glacio_stone_bricks.png,OK
ad_astra:chiseled_glacio_stone_slab,ad_astra__chiseled_glacio_stone_slab.png,OK
