item_id,status,method,textures,output_png
ad_astra:aeronos_cap,OK,fallback_all,assets/ad_astra/textures/block/aeronos_cap.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_cap.png
ad_astra:aeronos_door,OK,multi_layer_inventory,assets/ad_astra/textures/item/aeronos_door.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_door.png
ad_astra:aeronos_fence,UNRESOLVED,unresolved,,
ad_astra:aeronos_fence_gate,UNRESOLVED,unresolved,,
ad_astra:aeronos_ladder,OK,multi_layer_inventory,assets/ad_astra/textures/block/aeronos_ladder.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_ladder.png
ad_astra:aeronos_mushroom,OK,multi_layer_inventory,assets/ad_astra/textures/item/aeronos_mushroom.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_mushroom.png
ad_astra:aeronos_planks,OK,fallback_all,assets/ad_astra/textures/block/aeronos_planks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_planks.png
ad_astra:aeronos_slab,OK,fallback_side,assets/ad_astra/textures/block/aeronos_planks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_slab.png
ad_astra:aeronos_stairs,OK,fallback_particle,assets/ad_astra/textures/block/aeronos_planks.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_stairs.png
ad_astra:aeronos_stem,OK,fallback_all,assets/ad_astra/textures/block/aeronos_stem.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_stem.png
ad_astra:aeronos_trapdoor,OK,direct_block_texture,assets/ad_astra/textures/block/aeronos_trapdoor.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__aeronos_trapdoor.png
ad_astra:airlock,OK,multi_layer_inventory,assets/ad_astra/textures/item/airlock.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__airlock.png
ad_astra:astrodux,OK,multi_layer_inventory,assets/ad_astra/textures/item/astrodux.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__astrodux.png
ad_astra:black_flag,OK,fallback_particle,assets/ad_astra/textures/block/flag/black_flag.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__black_flag.png
ad_astra:black_industrial_lamp,OK,fallback_particle,assets/ad_astra/textures/block/lamp/black_industrial_lamp.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__black_industrial_lamp.png
ad_astra:blue_flag,OK,fallback_particle,assets/ad_astra/textures/block/flag/blue_flag.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__blue_flag.png
ad_astra:blue_industrial_lamp,OK,fallback_particle,assets/ad_astra/textures/block/lamp/blue_industrial_lamp.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__blue_industrial_lamp.png
ad_astra:brown_flag,OK,fallback_particle,assets/ad_astra/textures/block/flag/brown_flag.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__brown_flag.png
ad_astra:brown_industrial_lamp,OK,fallback_particle,assets/ad_astra/textures/block/lamp/brown_industrial_lamp.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__brown_industrial_lamp.png
ad_astra:cable_duct,OK,fallback_all,assets/ad_astra/textures/block/cable_duct.png,C:\Users\GodPC\curseforge\minecraft\Instances\All in one\item-assets-20260917-040836-dd2ede\baked_icons\ad_astra__cable_duct.png
